Pres_Id,President,Term Start,Term End
1,George Washington,04/30/1789,03/04/1797
2,John Adams,03/04/1797,03/04/1801
3,Thomas Jefferson,03/04/1801,03/04/1809
4,James Madison,03/04/1809,03/04/1817
5,James Monroe,03/04/1817,03/04/1825
6,John Quincy Adams,03/04/1825,03/04/1829
7,Andrew Jackson,03/04/1829,03/04/1837
8,Martin Van Buren,03/04/1837,03/04/1841
9,William Henry Harrison,03/04/1841,03/04/1841
10,John Tyler,04/04/1841,03/04/1845
11,James K. Polk,03/04/1845,03/04/1849
12,Zachary Taylor,03/04/1849,03/04/1850
13,Millard Fillmore,07/09/1850,03/04/1853
14,Franklin Pierce,03/04/1853,03/04/1857
15,James Buchanan,03/04/1857,03/04/1861
16,Abraham Lincoln,03/04/1861,03/04/1865
17,Andrew Johnson,04/15/1865,03/04/1869
18,Ulysses S. Grant,03/04/1869,03/04/1877
19,Rutherford B. Hayes,03/04/1877,03/04/1881
20,James Garfield,03/04/1881,03/04/1881
21,Chester Arthur,09/19/1881,03/04/1885
22,Grover Cleveland,03/04/1885,03/04/1889
23,Benjamin Harrison,03/04/1889,03/04/1893
24,Grover Cleveland,03/04/1893,03/04/1897
25,William McKinley,03/04/1897,9/14/1901
26,Theodore Roosevelt,9/14/1901,3/4/1909
27,William Howard Taft,3/4/1909,3/4/1913
28,Woodrow Wilson,3/4/1913,3/4/1921
29,Warren G. Harding,3/4/1921,8/2/1923
30,Calvin Coolidge,8/2/1923,3/4/1929
31,Herbert Hoover,3/4/1929,3/4/1933
32,Franklin D. Roosevelt,3/4/1933,4/12/1945
33,Harry S. Truman,4/12/1945,1/20/1953
34,Dwight Eisenhower,1/20/1953,1/20/1961
35,John F. Kennedy,1/20/1961,11/22/1963
36,Lyndon B. Johnson,11/22/1963,1/20/1969
37,Richard Nixon,1/20/1969,8/9/1974
38,Gerald Ford,8/9/1974,1/20/1977
39,Jimmy Carter,1/20/1977,1/20/1981
40,Ronald Reagan,1/20/1981,1/20/1989
41,George Bush,1/20/1989,1/20/1993
42,Bill Clinton,1/20/1993,1/20/2001
43,George W. Bush,1/20/2001,1/20/2009
44,Barack Obama,1/20/2009,1/20/2017
45,Donald Trump,1/20/2017,6/7/2019
